Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Change_gender,Change_internet
Afghanistan,,,,,,,,,,,,,30.179384014793662,34.76495068123242,29.126402720273976,35.686955160658506,37.23035010954978,36.89484084299599,37.78309475930463,38.57130898538347,39.34104467123265,40.47591060891703,40.71588196221511,40.1107167270159,39.9576792656386,,
Albania,48.07610811432019,,,,,47.93367148137983,48.001169237106005,48.06772672182115,,48.14256856233095,48.269543758318655,48.57985727465331,47.81849978945611,48.101285849328995,48.21300111856358,48.0474839794096,48.11287668276364,48.075193337299226,47.85715001955338,47.606119389077605,47.56496323087806,47.424649911898356,47.22893082369795,47.1470157920934,47.317085632536276,-0.7590224817839157,60.1
Algeria,44.66127819660881,,,,45.6530212784429,45.868000695563936,46.115622228074066,46.29577618740918,,46.64600627344958,46.75741584324614,46.81502663658797,46.982844793227436,46.959571813915616,47.01849256705688,46.99787516186186,47.035943554036855,47.236418578760315,47.30873954465505,47.2870238057174,47.33513663643719,47.365335052312716,47.54498509092047,47.661307931806924,47.727582372433375,3.0663041758245626,18.09
Angola,48.0243505589141,,,,,,,,47.21466421589619,,,,,,,,,,46.12395615222296,45.842512578263516,44.73841131980625,38.91204807508868,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,48.9065606361829,48.287493513233,48.33274210713019,47.33428114448196,47.67388300322432,48.21582320864823,,48.12229650019662,,
Argentina,49.09785644488375,,,,,,48.943713812982004,49.21389505974475,,49.241988901714166,49.08509686681537,49.09796120689829,49.08888700835292,49.050262154744985,48.97272537997085,48.92994689597896,48.99690949388625,49.05478233385607,49.01722835000161,48.99872446023345,48.79207132252095,48.811672193520224,48.80953334084695,48.891067263495856,,,
Armenia,,,,,50.551346231903665,50.268329224500796,50.28361153142305,50.83078745557703,,51.50639009466951,49.04606613202001,49.17471157445747,48.73989049239817,48.50162005812741,48.346996970237036,48.19135590376271,47.817319879508155,47.215906418076614,46.743706962352576,46.82959625593741,46.81149883617007,46.64413821352292,46.66570376254784,46.754788890627,46.81616929910116,,
Aruba,,,,,,,,,,48.856640281442395,48.60196480621829,48.64349300551081,48.24186991869919,47.984237647772055,47.884143348060874,48.34146341463415,48.8065447545717,48.58882659965204,48.53176188573712,48.64239742558327,48.90444309190505,48.3647936786655,49.606210621062104,48.39334897480363,48.16625916870416,,
Australia,48.599200012128684,48.60162419350821,48.638395772797736,48.647843030682516,48.667674650229905,48.64499332217545,48.65247712736227,48.64076681131314,48.65631076684144,48.67522639140612,48.63367421303066,48.63917843496248,,,,48.59217929642299,48.6096218346751,48.59936071541499,48.61558358954757,48.599623942180486,48.59298953805352,48.599639289528675,48.56894877344981,48.57571214392804,48.55812529311317,-0.04107471901551207,83.97490528779346
Austria,48.700293728167935,48.733421571540475,48.64184685588735,48.6414939515971,48.59811124969866,48.506541012106574,48.54674677033023,48.5014151919084,48.49121095017246,48.47328931495433,48.44663831175285,48.46064245461196,48.45944463418925,48.55101073910297,48.73995543793888,48.67317858343761,48.516013543751214,48.4355606495627,48.337521632962705,48.47405486103781,48.42034663048946,48.50023441019025,48.56539890810662,48.52026516945967,48.62456015611928,-0.07573357204865516,80.86963062314085
Azerbaijan,,,,,47.82895433332697,51.93556716057403,51.05486577862317,48.46710745802652,48.21290711785659,48.68247646685251,48.89078693282448,48.18842250922509,48.138292305898325,,,47.68111783727075,47.14304579347646,47.228766564451305,46.86519145475008,46.50662325953305,46.4420175640794,46.13016883711392,46.156397323181665,45.90044496896056,46.41516066972115,,
Bahrain,49.3125,,,,,49.00662251655629,48.86937098419877,48.66485537076678,48.80634097599179,48.72087232313701,48.89861039629439,48.852116312163915,48.69166142344276,48.9100834076227,48.936015863036225,48.71727151586454,48.777878088741765,,48.8209191022722,48.76473986475006,48.8026551492972,48.986435649949485,48.82542607093505,49.169525185051455,49.237038321484306,-0.07546167851569408,90.99998000000001
Bangladesh,44.779981891044926,,,,,,,,,,,,,,,50.12349349344042,50.35432372153954,50.742360022036536,50.505983618518265,50.1733891137091,50.50597788699264,50.41811747826488,,,,,
Barbados,49.039135923691966,,,,,,,,,48.9270732494353,48.89887640449438,49.12280701754386,49.222022740873726,48.93819883851955,48.90043445156089,49.211200503393414,48.69774275410712,49.260538434289764,49.021839030154496,49.047388568662825,49.15044794562867,48.64720778355325,,,48.87818241934722,-0.16095350434474653,76.67
Belarus,,,,,48.77087929404349,48.090523338048094,47.95127353266888,47.728,47.71433219456645,48.329570641830266,48.3602675861885,48.359780436452965,48.26447701826465,,,,48.07117062240303,48.240768147654315,48.51892333509981,48.48968545469609,48.60898389026149,48.622248099920576,48.679572460060264,48.70541061878223,48.71401338998815,,
Belgium,49.04726131727381,49.16343699782588,49.09046957152354,48.530293210732616,48.4872051705932,48.484097849392505,48.52193603627376,,,48.55414862848647,48.64037366460655,48.64818646204312,48.67235313960773,48.65766085095769,48.810417729092464,48.81475263343172,48.81210357965524,48.89891058435769,48.916175114453,48.87377443777568,48.86417833144975,48.83311460175909,48.771178413904565,48.91923830412609,48.897575908000334,-0.14968540927347362,84.99899326038162
Belize,,,,,,48.318566979697266,48.224928132376654,48.31206401791755,,48.474422815753734,48.25399660623381,,48.566284042313754,,48.69785288594987,48.39691921905786,48.637784725323804,49.02115688465837,48.61522483363465,48.699386269927224,48.67616334283001,48.5494929432211,48.7286633709542,48.351815570730224,48.15114086729001,,
Benin,33.90879619003902,,,,,,36.453920940067384,37.23453184980768,38.37562548912657,39.278642814804115,40.17721551568814,40.55876375438889,41.260741257358184,41.85299550605167,42.788758820533964,43.554023093146405,44.42032756051291,,45.52907729838503,46.02963841827625,46.46604472185867,46.55091343167972,46.89429554011661,47.10806184597034,47.34518335184899,13.436387161809968,5.3
Bhutan,,,,,,,,,,45.66020996599143,46.126545386170264,46.75751666591084,47.21366995073892,47.941983953008275,48.617490213002064,48.72307908866054,48.92834433846906,49.01739305235146,49.50895381715363,49.739071314382315,49.88629053447979,49.68025687380265,49.69568166402894,49.558582479414895,49.64639460198491,,
Bolivia,47.64913757526231,,,,,48.3201706118588,48.36938535036409,48.41579843626975,,48.69342000264382,48.729342644181756,48.75926024622928,48.79107502444268,48.90410941020734,48.98155059544976,,49.01106886779817,48.97738230504986,48.86451704434334,48.724765991037735,48.67999361828976,48.63205174608497,48.46597959047242,48.26972800742694,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,48.77313883299799,48.66834875245304,48.911297056672446,48.85919518916421,48.63382540593063,48.63101668467171,48.61439259696791,48.60547872043124,,
Botswana,51.601673274171475,51.385486526645515,,,,50.09133133350122,49.9411541322353,49.88736083011655,,49.725094968602214,49.67605455728484,49.63378469028778,49.44730757023894,49.45970651621183,49.26587808647609,49.299039159636806,49.10915600589558,48.940989020716266,48.94830289121207,48.75277756783312,,,48.985200845665965,48.82890035728464,,,
Bulgaria,48.1913269727514,,,48.08772934445081,48.57155665875447,48.34746500002351,48.209372104921115,48.19217675258806,48.159037016669366,48.13128148331658,48.1189993789389,48.084869951731086,48.21404054734337,48.23521992937276,48.28162344337266,48.352337966395076,48.28837737369298,48.33921310691222,48.50000570991355,48.558850912044505,48.47583928708612,48.40485169707471,48.299732141442,48.292106041194444,48.341446453407514,0.1501194806561159,55.49
Burkina Faso,37.9818131460382,,,,,,39.205700468619604,,39.925368816149344,40.43114039439339,40.81827356365002,41.27889882402021,41.79195470658831,42.14563058835153,43.217535225605346,43.71276568120066,44.21277302633235,44.82551890846997,45.602399854456884,46.148963504292915,46.772024242661026,47.227740506372164,47.738233837351125,48.25085682289705,48.433245027802364,10.451431881764165,9.4
Burundi,44.58989276751084,45.62454694623999,44.968377548772736,44.98729814494552,,44.385745628113,45.786160572989324,45.648446487682534,44.876671453617334,44.128624705984066,44.423902324822464,44.39635592960694,43.94967515978908,44.60043425835802,45.429267063711684,46.185257590472766,47.65086943756571,48.179286363965645,48.72710396502811,49.16094167696686,49.6700562907159,50.104425107032526,50.302345563461266,50.36854413374465,50.67554429024123,6.085651522730387,1.38
Cambodia,,,,,,,,44.85183573607923,45.07603247286472,45.72121829739949,45.84559734425689,46.27290384518881,46.52233409486869,46.78279709376927,47.03349618260932,47.23993571202788,47.2963888082099,47.22081072928211,47.387343277766526,47.41394181658419,47.786714965322744,47.63875020399979,47.74581312570738,47.15295365524246,48.03557125643296,,
